Region,Country,Location,City,Course,Play,Type,i100,Date,NumberHoles,Architect,Budget,Budget2,Apprentice1,Apprentice2,Construction,ConstructionURL,Super,Irrigation,Bunkers,Sand,Greens,Fairways,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,ApproxGPS,Website,MediaWeb,YouTube,Instagram,InstaCaption,BackTee,AnnualGroundsBudget,Acres,Equiprment,AnnualWater,WaterSrc,Comments,Comments2,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL,Owner,Opposition,Permits,MgmtCo,Irrigation
L America,Mexico,Yucatan,,RLL Wellness,Holiday,,,2021,,Piza,,,,,,,,,,,,,,New,Open,,,2021-01-12,20.754224,-89.863627,,http://www.architecturepressrelease.com/2nd-award-multi-golf-complex-rll-by-piza-golf/,,,,,,,,,,,Chablé,,,arqpiza/status/1349062012949598208,Wellness,,,,,,,
L America,St. Lucia,Cap Estate,,Sandals,Holiday,,,2021,,Norman,,,,,,,,,,,,,,Renovate,Open,,,2021-01-17,14.091271,-60.967279,,https://www.thevoiceslu.com/2019/07/golf-sandals-diamond-in-the-rough-to-open-february-2020/,,,,,,,,,,,,,,,,,,,,,,
L America,Uruguay,Maldonado,,Las Piedras,Once,,,2021,,Layton,,,,,,,,,,,,,,Rebuild ,Open,,Palmer,2020-11-03,-34.840073,-55.445542,,http://www.laspiedrasfasano.com/en/amenities/golf/,,,thad.layton,Layton,,,,,,,New 9,,,,,,,,,,,
N America,Bermuda,St George’s,,Five Forts,Holiday,Public,,2021,,RTJ II,,,,,,,,,,,,,,Rebuild ,Open,,RTJ,2021-04-17,32.385585,-64.677884,,https://www.marriott.com/en-us/hotels/bdaxr-the-st-regis-bermuda-resort/experiences/five-forts-golf-club/,,,,,,,,,,,St. Regis,,,BTAInsights/status/1368730102507462658,May,,,,,,,
N America,Canada,Alberta,,Blackhawk GC,Once,,Short,2021,,Whitman Cutten,,,,,,,,,,,,,,Renovate,Open,,,2022-03-21,53.385303,-113.663592,,https://www.playblackhawk.com/,,,,,,,,,,,,,,playblackhawk/status/1282729330393530369,The Sanctuary,,,,,,,
N America,Canada,Brit Columbia,,Sagebrush,Holiday,Public,,2021,,Whitman Mingay Zokol,,,,,,,,,,,,,,Renovate,Open,,,2021-06-11,50.1536807,-120.5360454,,https://cfjctoday.com/2021/05/14/watch-reclamation-project-sagebrush-golf-club-near-merritt-rising-again,,,,,,,,,,,,,,YoungerGolf/status/1403323731284475908,Reboot,,,,,,,
N America,Canada,Brit Columbia,,Uplands Golf Club,Once,Member,,2021,,Mingay,,,,,,,,,,,,,,Renovate,Open,,Robinson,2021-09-22,48.45,-123.309167,,https://www.uplandsgolfclub.com/Club/Club_History,,1ectWBD730A,,,,,,,,,,,Holes 2-3,,,,,,,,,
N America,Canada,Ontario,,Hamilton,Member,,100,2021,,Ebert,,,,,,,,,,,,,,Restore,Open,,Colt Robinson,2021-11-07,43.218889,-79.979133,,http://www.hgcc.ca,,,hamiltongolfandcountryclub,Hamilton,,,,,,,East 9,,,drewharvie/status/1324477474403594240,Images,,,,,,,
N America,USA,Alabama,,Peninsula Golf,Holiday,Public,,2021,,In house,,,,,,,,,,,,,,Renovate,Open,,Stone,2021-08-07,30.2525333,-87.7754281,,https://www.peninsulagolfclub.com/index.php,,e5P5IDx-GD8,,,,,,,,,Barrett,,AL,,,,,,,,,
N America,USA,Arizona,,Sterling Grove,Once,,,2021,,Cochran Nicklaus,$12M,,,,Heritage Links,,,,,,,,,New,Open,,,2021-12-26,33.594265,-112.43003,,https://www.sterlinggroveclub.com/golf,,E_kTMl0atTc,,,,,,,,,,,Vlog,,,,,,,,,
N America,USA,Arizona,,Eagle Mountain,Holiday,Public,,2021,,In house,,,,,Casa Verde,,,,,,,,,Renovate,Open,,Miller ,2022-10-11,33.5765693,-111.761337,,https://eaglemtn.com/awards-accolades/,,,,,,,,,,,Reduction,,,,,,,,,,,
N America,USA,Arizona,,The Views GC,Once,Member,,2021,,Gogel,,,,,Pro Turf International,,,,,,,,,Renovate,Open,,Nash Hardin,2020-07-13,32.462574,-110.950123,,https://www.theviewsgolfclub.com/,,0OPqXN66FYY,theviewsgolf,Views,,,,,,,,,ProTurf,,,,,,,,,
N America,USA,Arkansas,,Wilson Sporting Club,Once,,,2021,6,Goalby Schneider Conant,,,,,Total Turf,,,,,,,,,New,Open,,,2021-12-10,35.566822,-90.6038,,,,,,,,,,,,,,,,Dundee_Golf/status/1440672986470645769,Image,,,,,,,
N America,USA,California,,Pebble Beach Hay,Holiday,,Short,2021,,Welling Woods,,,,,,,,,,,,,,Rebuild ,Open,,,2021-04-17,36.569655,-121.951944,,https://www.pebblebeach.com/golf/the-hay/,,Xb4MlZk4Zt4,pebblebeachresorts,Pebble,,,,,,,,,Experience,TigerWoods/status/1383080462936125442,Open,,,,,,,
N America,USA,California,,Cordevalle,Once,Member,,2021,,RTJ II,,,,,,,,,,,,,,Renovate,Open ,,RTJ II,2021-06-25,37.067571,-121.6350852,,https://golfweek.usatoday.com/gallery/photos-refreshed-cordevalle-california,,,,,,,,,,,,,,,,,,,,,,
N America,USA,California,,El Caballero,Once,,,2021,,Rees Jones,$10M,,Steve Weisser,,Wadsworth,,,,,,,,,Renovate,Open,,RTJ,2021-11-24,34.160106,-118.535039,,https://www.reesjonesinc.com/el-caballero/,,d2eUKn-iyus,,,,,,,,,Santa Ana bermuda,,Latitude 36 bermuda,GCImagazine/status/1462904184064417792,Open,,,,,,,
N America,USA,California,,Friendly Hills,Once,Member,,2021,,O’Callaghan,,,,,,,,,,,,,,Renovate,Open,,Hines,2022-03-04,33.959722,-117.998861,,https://www.instagram.com/p/CIjj3wJldvj/,,,,,,,,,,,5 degrees,,,,,,,,,,,
N America,USA,California,,Granite Bay,Once,Member,,2021,,Abbott Rodriguez Page,,,,,,,,,,,,,,Renovate,Open,,RTJ Phillips,2021-10-27,38.7247203,-121.196836,,http://www.granitebaycourseupdate.com/,,TQUmbMVwcCE,,,,,,,,,,,Open,,,,,,,,,
N America,USA,California,,Mountain Vista,Once,Member,,2021,,O'Callaghan,,,,,,,,,,,,,,Renovate,Open,,,2021-11-12,33.782367,-116.294155,,https://www.desertsun.com/story/sports/golf/2021/10/26/mountain-vista-golf-club-palm-desert-debuts-course-changes/8545081002/,,,,,,,,,,,Sun City,,,caseygolfdesign/status/1392571490059489280,Hole 7,,,,,,,
N America,USA,California,,San Vicente ,Holiday,,,2021,,Staples,$2.9M,,,,Heritage Links,,,,,,,,,Renovate,Open,,Robinson ,2021-02-28,33.002199,-116.807967,,,,M2cw_vJOeIs,,,,,,,,,,,Hole 9,buildsmartrgolf/status/1356626512297029632,Press,,,,,,,
N America,USA,California,,Tahoe Donner,Once,,,2021,,Bickler,$2.5M,,,,,,,,,,,,,Renovate,Open ,,,2021-03-22,39.352275,-120.233514,,http://www.tahoedonner.com/amenities/amenities/golf/,,,,,,,,,,,,,,EarthSculptures/status/1273989888283602944,Greens,,,,,,,
N America,USA,Connecticut,,Aspetuck Valley CC,Once,,,2021,,George,,,,,Heritage Links,,,,,,,,,Renovate,Open,,,2021-09-08,41.226918,-73.334711,,https://www.aspetuckvalley.com/,,,,,,,,,,,,,,Evan_Schiller/status/1333595030699864071,Images,,,,,,,
N America,USA,Florida,,PGA National,Holiday,Public,Short,2021,,Staples ,,,,,Total Turf,,,,,,,,,New,Open,,,2021-12-24,26.829097,-80.143521,,https://www.golfcoursearchitecture.net/content/andy-staples-reimagines-squire-course-at-pga-national,,F56CRq7CBiM,,,,,,,,,Squire,,PGA,,,,,,,,,
N America,USA,Florida,,Southern Oaks,Once,,,2021,,Ezell,,,,,,,,,,,,,,New,Open,,,2021-12-12,28.822035,-82.028689,,https://www.thevillages.com/whatsnew/golf,,WikE4Nq0asM,,,,,,,,,Villages,,Flyover,ASGCA/status/1289561767228477443,ASGCA,,,,,,,
N America,USA,Florida,,Bent Creek,Once,Member,,2021,,TBA,,,,,,,,,,,,,,Renovate,Open ,,,2021-09-13,35.7608843,-83.347392,,,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Florida,,Grand Cypress GC,Holiday,Public,,2021,,Nicklaus,,,,,Heritage Links,,,,,,,,,Renovate,Open,,Nicklaus,2021-04-13,28.40764,-81.530948,,https://www.grandcypress.com/,,e6FNdobK_eE,thevillasofgrandcypress,GC,,,,,,,Bunkers,,Soil,GT_IRRIGATION/status/1378338071385571332,Grow in,,,,,,,
N America,USA,Florida,,Heritage Palms Sabal,Once,,,2021,,Lewis,,,,,,,,,,,,,,Renovate,Open,,Azinger Lewis,2020-07-14,26.590929,-81.823293,,https://www.hpgcc.com/,,IUi9_dlbTQg,heritagepalms,Heritage,,,,,,,,,FL,,,,,,,,,
N America,USA,Florida,,Jacaranda,Holiday,Public,,2021,,Weed ,$10M,,,,,,,,,,,,,Renovate,Open,,,2021-06-08,26.111608,-80.27484,,https://jacarandagolfclub.com/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Florida,,Jonathan's Landing,Member,,,2021,,Hanse Wagner,,,,,,,,,,,,,,Rebuild ,Open,,Hills,2021-12-02,26.980306,-80.204482,,https://jonathanslanding.clubhouseonline-e3.com/Club-Info/OT_Project,,AG-B3btaT38,,,,,,,,,Old Trail,,Faxon,BradFaxon/status/1362141881317097480,Faxon,,,,,,,
N America,USA,Florida,,Olde Cypress,Once,Member,,2021,,TBA,,,,,,,,,,,,,,Renovate,Open,,PB Dye,2021-10-27,26.2113877,-81.8274544,,https://www.oldecypress.com/,,,,,,,,,,,,,,naples_matt/status/1443607420224380933,Naples,,,,,,,
N America,USA,Florida,,Olde Florida,Once,Member,,2021,,TBA,,,,,,,,,,,,,,Renovate,Open,,Rees Jones,2021-10-28,26.246859,-81.652075,,https://www.facebook.com/OldeFloridaGolfClub/,,T1nxiaWadso,,,,,,,,,,,Regrassing,,,,,,,,,
N America,USA,Florida,,Palm Aire,Once,,,2021,,Benkusky,,,,,,,,,,,,,,Renovate,Open,,Wilson,2021-12-08,26.223732,-80.159843,,https://www.palmaire.net/,,oOQg-y3kpg4,,,,,,,,,,,FL,,,,,,,,,
N America,USA,Florida,,Pointe West,Once,,,2021,,Sanford,,,,,Total Golf,,,,,,,,,Renovate,Open,,,2021-03-01,27.629188,-80.484071,,https://www.pwccvb.com/,,,,,,,,,,,,,,KDturf/status/1366197047238529029,Bunker,,,,,,,
N America,USA,Florida,,Sailfish Sands,Govt.,Public,,2021,,Sanford ,$10M,,,,TDI,,,,,,,,,Reduce,Open,,Langford,2021-12-26,27.179709,-80.206676,,https://sailfishpoint.com/golf/,,ZTaWa08MoKA,,,,,,,,,Martin County ,,Front 9,,,,,,,,,
N America,USA,Florida,,Santa Rosa,Once,,,2021,,Bergin,$3.8M,,,,Medalist,,,,,,,,,Renovate,Open,,,2021-12-26,30.360222,-86.244594,,https://santarosaclub.com/course-renovation/,,piSL5cy41Dk,,,,,,,,,,,Bergin,bergingolf/status/1349103812091518977,Beach,,,,,,,
N America,USA,Florida,,Seven Lakes,Once,,,2021,,Kipp Schulties,$3.4M,,,,Ryan Golf,,,,,,,,,Renovate,Open,,,2020-06-27,26.550611,-81.880791,,https://sevenlakesgolfandtennis.com/page/22119~379629/golf-course-status,,KEq3kgqhCLs,,,,,,,,,,,Opening,,,,,,,,,
N America,USA,Florida,,The Meadows CC,Once,,,2021,,Johnston,$1.2M,,,,,,,,,,,,,Renovate,Open,,,2020-07-15,27.363625,-82.479252,,https://www.meadowscc.org/,,o_mVdu7yn_w,The_Meadows_CC,Meadows,,,,,,,$1.2M,, July 2020,,,,,,,,,
N America,USA,Florida,,The Quarry,Once,,,2021,,Hurdzan Fry,,,,,,,,,,,,,,Renovate,Open,,Hurdzan Fry,2020-07-13,26.278644,-81.679401,,https://www.quarrygolfnaples.com/,,pGQKaz2EnDk,thequarrynaples,Quarry,,,,,,,,, July 2020,,,,,,,,,
N America,USA,Florida,,TPC Treviso Bay,Once,,,2021,,Ryan,$3M,,,,,,,,,,,,,Renovate,Open,,Hills,2020-11-05,26.071772,-81.735728,,https://www.flipsnack.com/tpctrevisobay/member-shared-design-document-november-5-2019.html,,XbW79fI0OPo,tpctrevisobay,Treviso,,,,,,,$3M,, July 2020,HFS_GCA/status/1281935417697341440,Images,,,,,,,
N America,USA,Florida,,Turkey Creek,Once,,,2021,,Palmer,$1.5M,,,,,,,,,,,,,Renovate,Open,,,2022-03-25,29.757867,-82.439518,,https://www.wuft.org/news/2022/02/03/turkey-creek-golf-club-defunct-for-a-decade-is-now-one-of-alachua-countys-only-two-public-courses/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Florida,,TwinEagles Talon,Once,Member,,2021,,Nicklaus,,,,,,,,,,,,,,Renovate,Open,,,2021-05-25,26.288312,-81.633192,,https://www.twineagles.com/,,gVsMjhi0mL4,,,,,,,,,,,21-May,,,,,,,,,
N America,USA,Florida,,Woodfield CC,Once,Member,,2021,,Kipp Schulties,$7.9M,,,,Heritage Links,,,,,,,,,Renovate,Open ,,,2021-02-09,26.401259,-80.161681,,https://www.woodfield.org/,,,,,,,,,,,,,,SkyCaddieChip/status/1355809579247017986,Images,,,,,,,
N America,USA,Florida,Vero Beach,Grand Harbor Harbor,Member,Member,,2021,,Lutzke Shaw,,,,,,,,,,,,,,Restore,Open,,Dye,2021-12-21,27.6418916,-80.3775635,,https://grandharbor.com/,,QhVmvH3vKEg,,,,,,,,,,,Breda,TimGavrich/status/1436099369703510020,Open,,,,,,,
N America,USA,Florida,,Kensington G&CC,Once,Member,,2021,,RTJ Charlton,$7.2M,,,,,,,,,,,,,Restore,Open,,RTJ,2021-11-12,26.210738,-81.758156,,https://kensingtoncc.com/,,hEEz52nNQBI,,,,,,,,,,,Charlton,,,,,,,,,
N America,USA,Georgia,,Dalton G&CC,Once,,,2021,,Bergin,,,,,,,,,,,,,,Renovate,Open,,,2020-11-04,34.804291,-84.956077,,https://www.daltongcc.org/,,vUWIwsO0RmY,,,,,,,,,,,Bergin #5,bergingolf/status/1322260704251027456,Opening,,,,,,,
N America,USA,Georgia,,West Pines,Govt.,Public,,2021,,Bergin,,,,,,,,,,,,,,Renovate,Open,,,2021-01-13,33.732166,-84.755925,,https://www.westpinesgc.com/aboutus/scorecard/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Illinois,,Heritage Oaks,Govt.,Public,,2021,,Jacobson,,,,,,,,,,,,,,Rebuild ,Open,,,2021-02-09,42.136825,-87.869199,,https://www.chicagogolfreport.com/sportsmans-Renovate-update/,,,,,,,,,,,,,,nb_parks/status/1354898761647075329,Press,,,,,,,
N America,USA,Illinois,,Tam O'Shanter,Holiday,Public,,2021,9,Lohmann Quitno,,,,,,,,,,,,,,Renovate,Open,,,2021-06-07,42.0332297,-87.8199068,,http://www.golftam.com/,,,,,,,,,,,,,,LohmannQuitno/status/1401866409563635714,Hole 1,,,,,,,
N America,USA,Indiana,,Holliday Farms,Once,,,2021,,Dye Liddy,,,,,Wadsworth,,,,,,,,,New,Open,,,2021-06-08,39.989884,-86.263801,,https://hollidayfarmszionsville.com/golf/,,FVttDRI9p6Q,holliday_farms,Dye,,,,,,,,,Welcome,,,,,,,,,
N America,USA,Indiana,,Harrison Lake,Holiday,Public,,2021,,Liddy,,,,,,,,,,,,,,Renovate,Open,,,2021-12-09,39.1890773,-86.024121,,https://www.harrisonlakeclub.com/,,,,,,,,,,,,,,timliddy/status/1467902978799677454,Complete,,,,,,,
N America,USA,Indiana,,Long Beach CC,Once,Member,,2021,,Clark,,,,,Servicescape,,,,,,,,,Renovate,Open,,,2021-04-12,41.744877,-86.850905,,https://www.longbeachcc.org/About_Us/History,,,,,,,,,,,,,,ce_golf/status/1380934702962507777,Open,,,,,,,
N America,USA,Iowa,,The Meadows,Once,Member,,2021,,Norby,,,,,,,,,,,,,,Renovate,Open,,,2021-06-25,42.5140342,-90.7983365,,https://norbygolfdesign.com/the-meadows-golf-club,,,,,,,,,,,,,,gcamagazine/status/1408050216406822912,GCA,,,,,,,
N America,USA,Kansas,,Indian Hills CC,Once,,,2021,,Clark,,,,,,,,,,,,,,Renovate,Open,,,2020-11-29,39.004774,-94.629821,,https://www.ihcckc.com/golf,,,cegolfdesign,cegolfdesign,,,,,,,,,,,,,,,,,,
N America,USA,Louisiana,,Lake Charles,Govt.,Public,,2021,,Blume,,,,,Sterling,,,,,,,,,Rebuild ,Open,,,2022-08-07,30.210287,-93.155726,,https://www.mallardgolfclub.com/,,,,,,,,,,,Mallard,,,,,,,,,,,
N America,USA,Louisiana,,Smugglers Run,Govt.,Public,,2021,,Crace,,,,,,,,,,,,,,Rebuild ,Open,,,2020-09-19,32.292728,-97.250226,,https://www.jprec.org/golfcourse,,,,,7200,,,,,,Jackson Parish,,,,,,,,,,,
N America,USA,Louisiana,,Mallard GC,Govt.,Public,,2021,,Blume,,,,,,,,,,,,,,Renovate,Open,,,2021-09-09,30.20995,-93.1553051,,https://www.cityoflakecharles.com/department/?fDD=10-0,,,,,,,,,,,,,,JeffBlumeASGCA/status/1403551472823029767,Overhead,,,,,,,
N America,USA,Louisiana,,Tamahka Trails,Govt.,Public,,2021,,Crace,,,,,,,,,,,,,,Renovate,Open,,,2020-11-28,31.106263,-92.078185,,http://tamahkatrails.com/,,,,,,,,,,,,,,lipouts/status/1331718887293988867,Hole 18,,,,,,,
N America,USA,Louisiana,,TPC Louisiana,Public,Public,,2021,,Claytor,,,,,Duininck,,,,,,,,,Renovation,Open,,Dye,2021-05-07,29.9023741,-90.1914283,,https://tpc.com/louisiana/,,e-yFVsJvcMo,,,,,,,,,Phase 3,,Flyover,,,,,,,,,
N America,USA,Maine,,Sebasco Harbor,Holiday,Public,Short,2021,3,Stein,,,,,,,,,,,,,,New,Open,,,2022-07-05,43.767114,-69.864265,,https://www.sebasco.com/golf/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Maryland,,Congressional Blue,Member,,100,2021,,Green,,,,,,,,,,,,,,Renovate,Open,,RTJ,2021-06-10,38.996246,-77.176435,,https://www.ccclub.org/,,2sSosWXHeoI,congressionalcountryclub,Congo,,,,,,,,,Peter Wendt,GreenGCA/status/1402935706725629958,Green,,,,,,,
N America,USA,Maryland,,Eisenhower,Govt.,Public,,2021,,Green,$5M,,,,Wadsworth,,,,,,,,1969,Renovate,Open,,Ault,2021-09-02,39.014877,-76.587132,,https://www.eisenhowergolf.com/,,IRKrJHvlB8g,,,,,220,,,,Preserve,,Green,,,,,,,,,
N America,USA,Maryland,,Green Spring Valley,Member,,,2021,,Rae,,,,,,,,,,,,,,Renovate,Open,,RTJ,2021-06-18,39.404599,-76.755828,,https://www.gsvhc.com/history,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Massachusetts,,The Country Club ,Member,,100,2021,,Hanse ,,,,,MAS,,,,,,,,,Restore,Open,,Flynn,2020-11-28,42.314817,-71.150015,,https://www.tcclub.org/,,,,,,,,,,,2022,,,,,,,,,,,
N America,USA,Michigan,,American Dunes,Holiday,,,2021,,Nicklaus,$14M,,,,Superior Golf,,,,,,,,,New,Open,,,2020-09-29,43.000564,-86.211438,,https://americandunesgolfclub.com/,,dc3pfYcuVHc,americandunes,Am Dunes,,,,,,,,,Construction,GOLF_com/status/1311006605866131457,GOLF,,,,,,,
N America,USA,Michigan,,Saskatoon Silver,Once,,,2021,,Albanese Matthews,,,,,,,,,,,,,,New,Open,,,2021-12-26,42.796423,-85.443615,,https://www.saskatoongolf.com/,,ayBhFt5Fbr4,,,,,,,,,,,,,,,,,,,,
N America,USA,Michigan,,Bloomfield Hills ,Member,,,2021,,DeVries Pont ,,,,,LaBar,,,,,,,,,Renovate,Open,,Colt,2021-05-31,42.58291,-83.254828,,https://www.bloomfieldhillscc.org/,,,,,,,,,,,LaBar,,,cdpgolf1/status/1399094165275824130,Open,,,,,,,
N America,USA,Michigan,,Blythefield CC,Once,,,2021,,Wilczynski,,,,,MacCurrach,,,,,,,,,Renovate,Open,,Langford Moreau,2020-11-28,43.066087,-85.583413,,https://www.blythefieldcc.org/,,F7MdWgHztz0,,,,,,,,,,,20-Jul,gcamagazine/status/1328275011107340288,GCA,,,,,,,
N America,USA,Michigan,,Pine River,Once,Member,,2021,,Wilczynski,,,,,,,,,,,,,1929,Renovate,Open,,,2021-09-07,43.379511,-84.686489,,https://www.pinerivercc.net,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Michigan,,Plum Hollow CC,Once,,,2021,,Rogers,,,,,MacCurrach ,,,,,,,,,Renovate,Open,,Alison Colt,2021-08-18,42.451332,-83.264765,,https://www.plumhollowcc.com/,,VY8PjwOzHwI,plumhollowcc,Plum,,,,,,,,,History,,,,,,,,,
N America,USA,Michigan,,Oakland Hills South,Member,,100,2021,,Hanse ,$12M,,,,,,,,,,,,,Renovate,Open,,Ross RTJ ,2021-07-20,42.5439,-83.279876,,https://www.oaklandhillscc.com/,,h_ygielCaKU,,,,,,,,,,,Steve Brady,gcamagazine/status/1408355692956762116,GCA,,,,,,,
N America,USA,Minnesota,,Midland Hills,Once,,,2021,,Urbina,$2M,,,,,,,,,,,,,Renovate,Open,,Raynor,2021-10-29,45.001319,-93.196865,,http://www.midlandhillscc.org/,,,,,,,,,,,,,,Golf_Crazed/status/1292901144977723394,Number 1,,,,,,,
N America,USA,Mississippi,,Refuge,Govt.,Public,,2021,,Crace,$1.9M,,,,Eagle Golf,,,,,,,,,Renovate,Open,,Case ,2021-05-01,32.315922,-90.097756,,http://www.refugegolf.com/,,,,,,,,,,,,,,apocalypse422/status/976158552581660673,Plan,,,,,,,
N America,USA,Missouri,Camdenton,Lake Valley,Holiday,Public,,2021,,Clark,,,,,Mammoth Sports,,,,Better Billy,Premier Sand Arkansas,,,,Renovate,Open,,,2021-03-03,37.987775,-92.802079,,http://www.lakevalleygolf.com/,,,,,,,,,,,Bunkers,,,,,,,,,,,
N America,USA,Missouri,,Legends CC,Once,Member,,2021,,Schaupeter,$1.4M,,,,,,,,,,,,,Renovate,Open,,RTJ,2021-04-25,38.497542,-90.653137,,https://www.thelegendsgolf.com/,,,,,,,,,,,,,,GCImagazine/status/1386311533764898827,Update,,,,,,,
N America,USA,Missouri,,Meadowbrook CC,Once,,,2021,,Hargrave,,,,,,,,,,,,,,Renovate,Ongoing,,,2020-09-26,38.616258,-90.567921,,https://www.meabrk.org/,,QGeTJzmsGcw,,,,,,,,,Bunkers,,Front 9,,,,,,,,,
N America,USA,Nebraska,,CapRock Ranch,Once,,,2021,,Hanse ,,,,,Landscapes Unlimited,,,,,,,,,New,Open,,,2021-09-02,42.736804,-100.875556,,https://www.caprockranch.com/gallery,,kaItv-ftiDY,caprock.ranch,,,,,,,,,,Podcast,JwcJeff/status/1417875106425151494,Chop,Yes,,,,,,
N America,USA,New Jersey,,Hollywood,Once,Member,,2021,,Schneider,,,,,LaBar,,,,,,,,1918,Renovate,Open,,Travis,2021-04-16,40.250788,-74.022091,,https://www.hollywoodgolfclub.org/club/scripts/custom/custom.asp?NS=GP&PAGECFG=COURSETOUR,,,,,7040,,,,,,,,,,,,,,,,,
N America,USA,New Jersey,,Montclair,Once,,,2021,,McDonald Schneider,,,,,,,,,,,,,,Renovate,Open,,Ross Banks,2020-11-28,40.817945,-74.242732,,https://www.montclairgolfclub.org/,,,montclairgolfclub,Montclair,,,,,,,3rd nine,,,GreenMontclair/status/1330237279567294465, Nov 2020,,,,,,,
N America,USA,New Jersey,,Baltusrol Lower,Member,,100,2021,,Hanse ,$17.3M,,,,Total Turf,,Greg Boring,Tonto,,,,,,Restore,Open,,Tillinghast ,2021-05-18,40.704635,-74.332672,,https://www.baltusrol.org/,,,,,,,,,,,,,,Evan_Schiller/status/1391571830255783936, May 2021,,,,,,,
N America,USA,New Jersey,,Hendricks Field,Govt.,Public,,2021,,Kay,$5.1M,,,,Turco Golf,,,,,,,,,Restore,Open,,Banks,2021-08-27,40.7960154,-74.1708975,,https://golfclubatlas.com/feature-interview/feature-interview-with-ed-brockner/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,New Jersey,,The Shore,Once,Member,,2021,20,Rae,,,,,,,,,,,,,,Renovate,Open,,Stiles,2021-03-09,39.053555,-74.841245,,https://www.myshoreclub.com/courseinfo,,,tsc_greens,TSC,,,110,,,,,,,,,,,,,,,
N America,USA,New Jersey,,Stone Harbor,Once,Member,,2021,,Rae,,,,,,,,,,,,,,Renovate,Open,,Muirhead,2022-08-08,39.1059738,-74.8781151,,https://www.stoneharborgolf.com/Default.aspx?p=dynamicmodule&pageid=170&ssid=100178&vnf=1,,,,,,,,,,,,,,,,,,,,,,
N America,USA,New York,,Inness,Once,,Short,2021,,King Collins ,,,,,,,,,,,,,,Rebuild ,Open,,,2021-06-15,41.798304,-74.231373,,https://inness.co/,,URX_aryWfmo,inness_ny,inness_ny,,,,,,,Rondout,,Flyover,aminniti147/status/1403380240009809922,Preview,,,,,,,
N America,USA,New York,,Nassau CC,Once,Member,,2021,,Fazio Marzolf,,,,,,,,,,,,,,Renovate,Open,,,2021-10-17,40.869775,-73.618518,,https://www.nassaucc.com/index.cfm,,,,,,,,,,,,,,,,,,,,,,
N America,USA,New York,,Summit Armonk,Once,,,2021,,Rees Jones,,,,,,,,,,,,,,Renovate,Open,,,2021-08-13,41.009398,-73.745741,,https://thesummitclub.net/,,,,,,,,,,,Brynwood,,,Golfdom/status/1420851663238270983,Open,,,,,,,
N America,USA,New York,,Blind Brook,Member,,,2021,,Urbina,,,,,,,,,,,,,,Restore,Open,,Raynor,2021-06-16,41.042317,-73.687903,,https://www.blindbrookclub.org/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,New York,,Manhattan Woods,Once,Member,,2021,,Kovich,,,,,,,,,,,,,,Renovate,Open,,,2020-12-28,41.069599,-73.989432,,https://mwgolf.club/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,North Carolina,,High Hampton,Holiday,Public,,2021,,Tom Fazio,,,,,,,,,,,,,,Rebuild ,Open,,,2021-05-28,35.098948,-83.08636,,https://highhamptonnc.com,,,highhamptonnc,Cashiers,,,684,,,,,,,gcamagazine/status/1398319211391377415,Images,Maybe,,Beall,,,,
N America,USA,North Carolina,,Highlands Falls ,Once,,,2021,,Bergin ,,,,,,,,,,,,,,Renovate,Open,,Lee ,2021-02-05,35.070768,-83.186975,,https://www.clubhfcc.com/,,fLg-fR34Bf8,,,,,,,,,,,Highlands NC,bergingolf/status/1357474110595624960,Par 4,,,,,,,
N America,USA,North Carolina,,Southern Pines,Holiday,,,2021,,Franz,,,,,,,,,,,,,,Restore,Open,,Ross,2021-09-10,35.164663,-79.399928,,https://www.southernpinesgolfclub.com/restoration/,,PYN1ZohK7K0,southernpines.golfclub,,,,,,,,Kelly Miller,,Interview,SHistorians/status/1355149606531846154,History,,,,,,,
N America,USA,North Carolina,,Trump Charlotte,Once,Member,,2021,,-,,,,,Labar,,,,,,,,,Renovate,Open,,,2022-10-31,35.5327605,-80.9207229,,https://www.facebook.com/TrumpCharlotte/,,,labargolfrenovations,Bunkers,,,,,,,,,,,,,,,,,,
N America,USA,North Carolina,,Highlands CC,Once,Member,,2021,,Forse,,,,,,,,,,,,,,Masterplan,Open,,Ross,2021-05-23,35.052845,-83.219518,,https://www.highlandscountryclub.com/golf,,,,,,,,,,,,,,hccsuper/status/1232484096879648770,Stiehler,,,,,,,
N America,USA,North Dakota,,Fox Hills,Once,,,2021,,Norby ,$8.4M,,,,Landscapes Unlimited,,,,,,,,,Rebuild ,Open,,,2021-10-03,47.805107,-103.235358,,https://foxhillsgc.com/index.htm,,,,,,,,,,,,,,golfnorby/status/1442575725568008193,Open,,,,,,,
